dataset,instancia,negocios,C,archivo
tolerancia-alta,T-B-82,82,19535,..\instances\tolerancia-alta\T-B-82.txt
tolerancia-alta,T-B-83,83,20565,..\instances\tolerancia-alta\T-B-83.txt
tolerancia-alta,T-B-84,84,21838,..\instances\tolerancia-alta\T-B-84.txt
tolerancia-alta,T-B-85,85,21745,..\instances\tolerancia-alta\T-B-85.txt
tolerancia-alta,T-B-86,86,20216,..\instances\tolerancia-alta\T-B-86.txt
tolerancia-alta,T-B-87,87,23094,..\instances\tolerancia-alta\T-B-87.txt
tolerancia-alta,T-B-88,88,21059,..\instances\tolerancia-alta\T-B-88.txt
tolerancia-alta,T-B-89,89,23263,..\instances\tolerancia-alta\T-B-89.txt
tolerancia-alta,T-B-90,90,22236,..\instances\tolerancia-alta\T-B-90.txt
tolerancia-alta,T-B-91,91,24294,..\instances\tolerancia-alta\T-B-91.txt
tolerancia-alta,T-B-92,92,23242,..\instances\tolerancia-alta\T-B-92.txt
tolerancia-alta,T-B-93,93,23097,..\instances\tolerancia-alta\T-B-93.txt
tolerancia-alta,T-B-94,94,24785,..\instances\tolerancia-alta\T-B-94.txt
tolerancia-alta,T-B-95,95,23677,..\instances\tolerancia-alta\T-B-95.txt
tolerancia-alta,T-B-96,96,23075,..\instances\tolerancia-alta\T-B-96.txt
tolerancia-alta,T-B-97,97,23599,..\instances\tolerancia-alta\T-B-97.txt
tolerancia-alta,T-B-98,98,23367,..\instances\tolerancia-alta\T-B-98.txt
tolerancia-alta,T-B-99,99,23755,..\instances\tolerancia-alta\T-B-99.txt
tolerancia-alta,T-B-100,100,26384,..\instances\tolerancia-alta\T-B-100.txt
tolerancia-alta,T-B-101,101,25884,..\instances\tolerancia-alta\T-B-101.txt
tolerancia-alta,T-B-102,102,26095,..\instances\tolerancia-alta\T-B-102.txt
tolerancia-alta,T-B-103,103,26849,..\instances\tolerancia-alta\T-B-103.txt
tolerancia-alta,T-B-104,104,26831,..\instances\tolerancia-alta\T-B-104.txt
tolerancia-alta,T-B-105,105,25855,..\instances\tolerancia-alta\T-B-105.txt
tolerancia-alta,T-B-106,106,26538,..\instances\tolerancia-alta\T-B-106.txt
tolerancia-alta,T-B-107,107,27488,..\instances\tolerancia-alta\T-B-107.txt
tolerancia-alta,T-B-108,108,27626,..\instances\tolerancia-alta\T-B-108.txt
tolerancia-alta,T-B-109,109,26728,..\instances\tolerancia-alta\T-B-109.txt
tolerancia-alta,T-B-110,110,30218,..\instances\tolerancia-alta\T-B-110.txt
tolerancia-alta,T-B-111,111,28015,..\instances\tolerancia-alta\T-B-111.txt
tolerancia-alta,T-B-112,112,28032,..\instances\tolerancia-alta\T-B-112.txt
tolerancia-alta,T-B-113,113,28576,..\instances\tolerancia-alta\T-B-113.txt
tolerancia-alta,T-B-114,114,28078,..\instances\tolerancia-alta\T-B-114.txt
tolerancia-alta,T-B-115,115,27949,..\instances\tolerancia-alta\T-B-115.txt
tolerancia-alta,T-B-116,116,29493,..\instances\tolerancia-alta\T-B-116.txt
tolerancia-alta,T-B-117,117,29456,..\instances\tolerancia-alta\T-B-117.txt
tolerancia-alta,T-B-118,118,30803,..\instances\tolerancia-alta\T-B-118.txt
tolerancia-alta,T-B-119,119,30652,..\instances\tolerancia-alta\T-B-119.txt
tolerancia-alta,T-B-120,120,29807,..\instances\tolerancia-alta\T-B-120.txt
tolerancia-alta,T-B-121,121,29993,..\instances\tolerancia-alta\T-B-121.txt
tolerancia-alta,T-B-122,122,30428,..\instances\tolerancia-alta\T-B-122.txt
tolerancia-alta,T-B-123,123,30727,..\instances\tolerancia-alta\T-B-123.txt
tolerancia-alta,T-B-124,124,29072,..\instances\tolerancia-alta\T-B-124.txt
tolerancia-alta,T-B-125,125,33021,..\instances\tolerancia-alta\T-B-125.txt
tolerancia-alta,T-B-126,126,30046,..\instances\tolerancia-alta\T-B-126.txt
tolerancia-alta,T-B-127,127,29660,..\instances\tolerancia-alta\T-B-127.txt
tolerancia-alta,T-B-128,128,31682,..\instances\tolerancia-alta\T-B-128.txt
tolerancia-alta,T-B-129,129,32002,..\instances\tolerancia-alta\T-B-129.txt
tolerancia-alta,T-B-130,130,32092,..\instances\tolerancia-alta\T-B-130.txt
tolerancia-alta,T-B-131,131,31774,..\instances\tolerancia-alta\T-B-131.txt
tolerancia-alta,T-B-132,132,30753,..\instances\tolerancia-alta\T-B-132.txt
tolerancia-alta,T-B-133,133,32458,..\instances\tolerancia-alta\T-B-133.txt
tolerancia-alta,T-B-134,134,32962,..\instances\tolerancia-alta\T-B-134.txt
tolerancia-alta,T-B-135,135,33984,..\instances\tolerancia-alta\T-B-135.txt
tolerancia-alta,T-B-136,136,34167,..\instances\tolerancia-alta\T-B-136.txt
tolerancia-alta,T-B-137,137,33653,..\instances\tolerancia-alta\T-B-137.txt
tolerancia-alta,T-B-138,138,34119,..\instances\tolerancia-alta\T-B-138.txt
tolerancia-alta,T-B-139,139,36497,..\instances\tolerancia-alta\T-B-139.txt
tolerancia-alta,T-B-140,140,34837,..\instances\tolerancia-alta\T-B-140.txt
tolerancia-alta,T-B-141,141,34974,..\instances\tolerancia-alta\T-B-141.txt
tolerancia-alta,T-B-142,142,35745,..\instances\tolerancia-alta\T-B-142.txt
tolerancia-alta,T-B-143,143,35316,..\instances\tolerancia-alta\T-B-143.txt
tolerancia-alta,T-B-144,144,37077,..\instances\tolerancia-alta\T-B-144.txt
tolerancia-alta,T-B-145,145,35137,..\instances\tolerancia-alta\T-B-145.txt
tolerancia-alta,T-B-146,146,37617,..\instances\tolerancia-alta\T-B-146.txt
tolerancia-alta,T-B-147,147,36940,..\instances\tolerancia-alta\T-B-147.txt
tolerancia-alta,T-B-148,148,38472,..\instances\tolerancia-alta\T-B-148.txt
tolerancia-alta,T-B-149,149,37884,..\instances\tolerancia-alta\T-B-149.txt
tolerancia-alta,T-B-150,150,38008,..\instances\tolerancia-alta\T-B-150.txt
tolerancia-alta,T-B-151,151,40286,..\instances\tolerancia-alta\T-B-151.txt
tolerancia-alta,T-B-152,152,36960,..\instances\tolerancia-alta\T-B-152.txt
tolerancia-alta,T-B-153,153,38643,..\instances\tolerancia-alta\T-B-153.txt
tolerancia-alta,T-B-154,154,41638,..\instances\tolerancia-alta\T-B-154.txt
tolerancia-alta,T-B-155,155,38405,..\instances\tolerancia-alta\T-B-155.txt
tolerancia-alta,T-B-156,156,39585,..\instances\tolerancia-alta\T-B-156.txt
tolerancia-alta,T-B-157,157,39477,..\instances\tolerancia-alta\T-B-157.txt
tolerancia-alta,T-B-158,158,39010,..\instances\tolerancia-alta\T-B-158.txt
tolerancia-alta,T-B-159,159,42318,..\instances\tolerancia-alta\T-B-159.txt
tolerancia-alta,T-B-160,160,40239,..\instances\tolerancia-alta\T-B-160.txt
tolerancia-alta,T-B-161,161,41303,..\instances\tolerancia-alta\T-B-161.txt
tolerancia-alta,T-B-162,162,39606,..\instances\tolerancia-alta\T-B-162.txt
tolerancia-alta,T-B-163,163,42103,..\instances\tolerancia-alta\T-B-163.txt
tolerancia-alta,T-B-164,164,42717,..\instances\tolerancia-alta\T-B-164.txt
tolerancia-alta,T-B-165,165,40532,..\instances\tolerancia-alta\T-B-165.txt
tolerancia-alta,T-B-166,166,39754,..\instances\tolerancia-alta\T-B-166.txt
tolerancia-alta,T-B-167,167,39820,..\instances\tolerancia-alta\T-B-167.txt
tolerancia-alta,T-B-168,168,43734,..\instances\tolerancia-alta\T-B-168.txt
tolerancia-alta,T-B-169,169,42010,..\instances\tolerancia-alta\T-B-169.txt
tolerancia-alta,T-B-170,170,42629,..\instances\tolerancia-alta\T-B-170.txt
tolerancia-alta,T-B-171,171,41413,..\instances\tolerancia-alta\T-B-171.txt
tolerancia-alta,T-B-172,172,42764,..\instances\tolerancia-alta\T-B-172.txt
tolerancia-alta,T-B-173,173,43239,..\instances\tolerancia-alta\T-B-173.txt
tolerancia-alta,T-B-174,174,44760,..\instances\tolerancia-alta\T-B-174.txt
tolerancia-alta,T-B-175,175,45776,..\instances\tolerancia-alta\T-B-175.txt
tolerancia-alta,T-B-176,176,44199,..\instances\tolerancia-alta\T-B-176.txt
tolerancia-alta,T-B-177,177,44713,..\instances\tolerancia-alta\T-B-177.txt
tolerancia-alta,T-B-178,178,44501,..\instances\tolerancia-alta\T-B-178.txt
tolerancia-alta,T-B-179,179,42777,..\instances\tolerancia-alta\T-B-179.txt
tolerancia-alta,T-B-180,180,46246,..\instances\tolerancia-alta\T-B-180.txt
tolerancia-alta,T-B-181,181,44021,..\instances\tolerancia-alta\T-B-181.txt
tolerancia-alta,T-B-182,182,47022,..\instances\tolerancia-alta\T-B-182.txt
tolerancia-alta,T-B-183,183,45128,..\instances\tolerancia-alta\T-B-183.txt
tolerancia-alta,T-B-184,184,47136,..\instances\tolerancia-alta\T-B-184.txt
tolerancia-alta,T-B-185,185,45002,..\instances\tolerancia-alta\T-B-185.txt
tolerancia-alta,T-B-186,186,46124,..\instances\tolerancia-alta\T-B-186.txt
tolerancia-alta,T-B-187,187,43164,..\instances\tolerancia-alta\T-B-187.txt
tolerancia-alta,T-B-188,188,47332,..\instances\tolerancia-alta\T-B-188.txt
tolerancia-alta,T-B-189,189,46024,..\instances\tolerancia-alta\T-B-189.txt
tolerancia-alta,T-B-190,190,45314,..\instances\tolerancia-alta\T-B-190.txt
tolerancia-alta,T-B-191,191,47517,..\instances\tolerancia-alta\T-B-191.txt
tolerancia-alta,T-B-192,192,46654,..\instances\tolerancia-alta\T-B-192.txt
tolerancia-alta,T-B-193,193,47669,..\instances\tolerancia-alta\T-B-193.txt
tolerancia-alta,T-B-194,194,48032,..\instances\tolerancia-alta\T-B-194.txt
tolerancia-alta,T-B-195,195,51020,..\instances\tolerancia-alta\T-B-195.txt
tolerancia-alta,T-B-196,196,48840,..\instances\tolerancia-alta\T-B-196.txt
tolerancia-alta,T-B-197,197,49004,..\instances\tolerancia-alta\T-B-197.txt
tolerancia-alta,T-B-198,198,50187,..\instances\tolerancia-alta\T-B-198.txt
tolerancia-alta,T-B-199,199,51260,..\instances\tolerancia-alta\T-B-199.txt
tolerancia-alta,T-B-200,200,52360,..\instances\tolerancia-alta\T-B-200.txt
tolerancia-alta,T-B-201,201,52443,..\instances\tolerancia-alta\T-B-201.txt
tolerancia-alta,T-B-202,202,49493,..\instances\tolerancia-alta\T-B-202.txt
tolerancia-alta,T-B-203,203,49222,..\instances\tolerancia-alta\T-B-203.txt
tolerancia-alta,T-B-204,204,51254,..\instances\tolerancia-alta\T-B-204.txt
tolerancia-alta,T-B-205,205,50196,..\instances\tolerancia-alta\T-B-205.txt
tolerancia-alta,T-B-206,206,51689,..\instances\tolerancia-alta\T-B-206.txt
tolerancia-alta,T-B-207,207,52001,..\instances\tolerancia-alta\T-B-207.txt
tolerancia-alta,T-B-208,208,50741,..\instances\tolerancia-alta\T-B-208.txt
tolerancia-alta,T-B-209,209,51540,..\instances\tolerancia-alta\T-B-209.txt
tolerancia-alta,T-B-210,210,53853,..\instances\tolerancia-alta\T-B-210.txt
tolerancia-alta,T-B-211,211,55534,..\instances\tolerancia-alta\T-B-211.txt
tolerancia-alta,T-B-212,212,52017,..\instances\tolerancia-alta\T-B-212.txt
tolerancia-alta,T-B-213,213,53886,..\instances\tolerancia-alta\T-B-213.txt
tolerancia-alta,T-B-214,214,55508,..\instances\tolerancia-alta\T-B-214.txt
tolerancia-alta,T-B-215,215,53679,..\instances\tolerancia-alta\T-B-215.txt
tolerancia-alta,T-B-216,216,53752,..\instances\tolerancia-alta\T-B-216.txt
tolerancia-alta,T-B-217,217,54162,..\instances\tolerancia-alta\T-B-217.txt
tolerancia-alta,T-B-218,218,55667,..\instances\tolerancia-alta\T-B-218.txt
tolerancia-alta,T-B-219,219,52950,..\instances\tolerancia-alta\T-B-219.txt
tolerancia-alta,T-B-220,220,54082,..\instances\tolerancia-alta\T-B-220.txt
tolerancia-alta,T-B-221,221,53880,..\instances\tolerancia-alta\T-B-221.txt
tolerancia-alta,T-B-222,222,55579,..\instances\tolerancia-alta\T-B-222.txt
tolerancia-alta,T-B-223,223,54537,..\instances\tolerancia-alta\T-B-223.txt
tolerancia-alta,T-B-224,224,55800,..\instances\tolerancia-alta\T-B-224.txt
tolerancia-alta,T-B-225,225,53794,..\instances\tolerancia-alta\T-B-225.txt
tolerancia-alta,T-B-226,226,54597,..\instances\tolerancia-alta\T-B-226.txt
tolerancia-alta,T-B-227,227,58065,..\instances\tolerancia-alta\T-B-227.txt
tolerancia-alta,T-B-228,228,55989,..\instances\tolerancia-alta\T-B-228.txt
tolerancia-alta,T-B-229,229,58400,..\instances\tolerancia-alta\T-B-229.txt
tolerancia-alta,T-B-230,230,58138,..\instances\tolerancia-alta\T-B-230.txt
tolerancia-alta,T-B-231,231,57504,..\instances\tolerancia-alta\T-B-231.txt
tolerancia-alta,T-B-232,232,60618,..\instances\tolerancia-alta\T-B-232.txt
tolerancia-alta,T-B-233,233,58840,..\instances\tolerancia-alta\T-B-233.txt
tolerancia-alta,T-B-234,234,54854,..\instances\tolerancia-alta\T-B-234.txt
tolerancia-alta,T-B-235,235,54980,..\instances\tolerancia-alta\T-B-235.txt
tolerancia-alta,T-B-236,236,59342,..\instances\tolerancia-alta\T-B-236.txt
tolerancia-alta,T-B-237,237,59655,..\instances\tolerancia-alta\T-B-237.txt
tolerancia-alta,T-B-238,238,60817,..\instances\tolerancia-alta\T-B-238.txt
tolerancia-alta,T-B-239,239,59822,..\instances\tolerancia-alta\T-B-239.txt
tolerancia-alta,T-B-240,240,60949,..\instances\tolerancia-alta\T-B-240.txt
tolerancia-alta,T-B-241,241,57104,..\instances\tolerancia-alta\T-B-241.txt
tolerancia-alta,T-B-242,242,61478,..\instances\tolerancia-alta\T-B-242.txt
tolerancia-alta,T-B-243,243,61710,..\instances\tolerancia-alta\T-B-243.txt
tolerancia-alta,T-B-244,244,60568,..\instances\tolerancia-alta\T-B-244.txt
tolerancia-alta,T-B-245,245,62333,..\instances\tolerancia-alta\T-B-245.txt
tolerancia-alta,T-B-246,246,63730,..\instances\tolerancia-alta\T-B-246.txt
tolerancia-alta,T-B-247,247,63108,..\instances\tolerancia-alta\T-B-247.txt
tolerancia-alta,T-B-248,248,65406,..\instances\tolerancia-alta\T-B-248.txt
tolerancia-alta,T-B-249,249,62111,..\instances\tolerancia-alta\T-B-249.txt
tolerancia-alta,T-B-250,250,61523,..\instances\tolerancia-alta\T-B-250.txt
tolerancia-alta,T-B-251,251,62646,..\instances\tolerancia-alta\T-B-251.txt
tolerancia-alta,T-B-252,252,61037,..\instances\tolerancia-alta\T-B-252.txt
tolerancia-alta,T-B-253,253,65816,..\instances\tolerancia-alta\T-B-253.txt
tolerancia-alta,T-B-254,254,60523,..\instances\tolerancia-alta\T-B-254.txt
tolerancia-alta,T-B-255,255,65116,..\instances\tolerancia-alta\T-B-255.txt
tolerancia-alta,T-B-256,256,62734,..\instances\tolerancia-alta\T-B-256.txt
tolerancia-alta,T-B-257,257,67839,..\instances\tolerancia-alta\T-B-257.txt
tolerancia-alta,T-B-258,258,65794,..\instances\tolerancia-alta\T-B-258.txt
tolerancia-alta,T-B-259,259,66361,..\instances\tolerancia-alta\T-B-259.txt
tolerancia-alta,T-B-260,260,62380,..\instances\tolerancia-alta\T-B-260.txt
tolerancia-alta,T-B-261,261,64484,..\instances\tolerancia-alta\T-B-261.txt
tolerancia-alta,T-B-262,262,64858,..\instances\tolerancia-alta\T-B-262.txt
tolerancia-alta,T-B-263,263,65640,..\instances\tolerancia-alta\T-B-263.txt
tolerancia-alta,T-B-264,264,65687,..\instances\tolerancia-alta\T-B-264.txt
tolerancia-alta,T-B-265,265,69789,..\instances\tolerancia-alta\T-B-265.txt
tolerancia-alta,T-B-266,266,65040,..\instances\tolerancia-alta\T-B-266.txt
tolerancia-alta,T-B-267,267,65296,..\instances\tolerancia-alta\T-B-267.txt
tolerancia-alta,T-B-268,268,66825,..\instances\tolerancia-alta\T-B-268.txt
tolerancia-alta,T-B-269,269,69337,..\instances\tolerancia-alta\T-B-269.txt
tolerancia-alta,T-B-270,270,69665,..\instances\tolerancia-alta\T-B-270.txt
tolerancia-alta,T-B-271,271,66413,..\instances\tolerancia-alta\T-B-271.txt
tolerancia-alta,T-B-272,272,69544,..\instances\tolerancia-alta\T-B-272.txt
tolerancia-alta,T-B-273,273,70753,..\instances\tolerancia-alta\T-B-273.txt
tolerancia-alta,T-B-274,274,65724,..\instances\tolerancia-alta\T-B-274.txt
tolerancia-alta,T-B-275,275,69073,..\instances\tolerancia-alta\T-B-275.txt
tolerancia-alta,T-B-276,276,68672,..\instances\tolerancia-alta\T-B-276.txt
tolerancia-alta,T-B-277,277,70215,..\instances\tolerancia-alta\T-B-277.txt
tolerancia-alta,T-B-278,278,68211,..\instances\tolerancia-alta\T-B-278.txt
tolerancia-alta,T-B-279,279,69161,..\instances\tolerancia-alta\T-B-279.txt
tolerancia-alta,T-B-280,280,72166,..\instances\tolerancia-alta\T-B-280.txt
tolerancia-alta,T-B-281,281,70326,..\instances\tolerancia-alta\T-B-281.txt
tolerancia-alta,T-B-282,282,73791,..\instances\tolerancia-alta\T-B-282.txt
tolerancia-alta,T-B-283,283,72369,..\instances\tolerancia-alta\T-B-283.txt
tolerancia-alta,T-B-284,284,70829,..\instances\tolerancia-alta\T-B-284.txt
tolerancia-alta,T-B-285,285,67797,..\instances\tolerancia-alta\T-B-285.txt
tolerancia-alta,T-B-286,286,73201,..\instances\tolerancia-alta\T-B-286.txt
tolerancia-alta,T-B-287,287,73855,..\instances\tolerancia-alta\T-B-287.txt
tolerancia-alta,T-B-288,288,73542,..\instances\tolerancia-alta\T-B-288.txt
tolerancia-alta,T-B-289,289,72474,..\instances\tolerancia-alta\T-B-289.txt
tolerancia-alta,T-B-290,290,74645,..\instances\tolerancia-alta\T-B-290.txt
tolerancia-alta,T-B-291,291,72984,..\instances\tolerancia-alta\T-B-291.txt
tolerancia-alta,T-B-292,292,72016,..\instances\tolerancia-alta\T-B-292.txt
tolerancia-alta,T-B-293,293,75805,..\instances\tolerancia-alta\T-B-293.txt
tolerancia-alta,T-B-294,294,72865,..\instances\tolerancia-alta\T-B-294.txt
tolerancia-alta,T-B-295,295,73495,..\instances\tolerancia-alta\T-B-295.txt
tolerancia-alta,T-B-296,296,75930,..\instances\tolerancia-alta\T-B-296.txt
tolerancia-alta,T-B-297,297,76124,..\instances\tolerancia-alta\T-B-297.txt
tolerancia-alta,T-B-298,298,77491,..\instances\tolerancia-alta\T-B-298.txt
tolerancia-alta,T-B-299,299,76500,..\instances\tolerancia-alta\T-B-299.txt
tolerancia-alta,T-B-300,300,76004,..\instances\tolerancia-alta\T-B-300.txt
tolerancia-alta,T-B-301,301,73538,..\instances\tolerancia-alta\T-B-301.txt
tolerancia-alta,T-B-302,302,76821,..\instances\tolerancia-alta\T-B-302.txt
tolerancia-alta,T-B-303,303,73178,..\instances\tolerancia-alta\T-B-303.txt
tolerancia-alta,T-B-304,304,74906,..\instances\tolerancia-alta\T-B-304.txt
tolerancia-alta,T-B-305,305,74886,..\instances\tolerancia-alta\T-B-305.txt
tolerancia-alta,T-B-306,306,76523,..\instances\tolerancia-alta\T-B-306.txt
tolerancia-alta,T-B-307,307,76303,..\instances\tolerancia-alta\T-B-307.txt
tolerancia-alta,T-B-308,308,75720,..\instances\tolerancia-alta\T-B-308.txt
tolerancia-alta,T-B-309,309,79302,..\instances\tolerancia-alta\T-B-309.txt
tolerancia-alta,T-B-310,310,77967,..\instances\tolerancia-alta\T-B-310.txt
tolerancia-alta,T-B-311,311,77874,..\instances\tolerancia-alta\T-B-311.txt
tolerancia-alta,T-B-312,312,78688,..\instances\tolerancia-alta\T-B-312.txt
tolerancia-alta,T-B-313,313,73907,..\instances\tolerancia-alta\T-B-313.txt
tolerancia-alta,T-B-314,314,79163,..\instances\tolerancia-alta\T-B-314.txt
tolerancia-alta,T-B-315,315,77243,..\instances\tolerancia-alta\T-B-315.txt
tolerancia-alta,T-B-316,316,81465,..\instances\tolerancia-alta\T-B-316.txt
tolerancia-alta,T-B-317,317,81922,..\instances\tolerancia-alta\T-B-317.txt
tolerancia-alta,T-B-318,318,77203,..\instances\tolerancia-alta\T-B-318.txt
tolerancia-alta,T-B-319,319,81161,..\instances\tolerancia-alta\T-B-319.txt
tolerancia-alta,T-B-320,320,77727,..\instances\tolerancia-alta\T-B-320.txt
tolerancia-alta,T-B-321,321,79456,..\instances\tolerancia-alta\T-B-321.txt
tolerancia-alta,T-B-322,322,81111,..\instances\tolerancia-alta\T-B-322.txt
tolerancia-alta,T-B-323,323,80310,..\instances\tolerancia-alta\T-B-323.txt
tolerancia-alta,T-B-324,324,84542,..\instances\tolerancia-alta\T-B-324.txt
