dataset,instancia,negocios,C,archivo
tolerancia-baja,T-B-76,76,500,..\instances\tolerancia-baja\T-B-76.txt
tolerancia-baja,T-B-77,77,493,..\instances\tolerancia-baja\T-B-77.txt
tolerancia-baja,T-B-78,78,517,..\instances\tolerancia-baja\T-B-78.txt
tolerancia-baja,T-B-79,79,469,..\instances\tolerancia-baja\T-B-79.txt
tolerancia-baja,T-B-80,80,458,..\instances\tolerancia-baja\T-B-80.txt
tolerancia-baja,T-B-81,81,528,..\instances\tolerancia-baja\T-B-81.txt
tolerancia-baja,T-B-82,82,507,..\instances\tolerancia-baja\T-B-82.txt
tolerancia-baja,T-B-83,83,537,..\instances\tolerancia-baja\T-B-83.txt
tolerancia-baja,T-B-84,84,494,..\instances\tolerancia-baja\T-B-84.txt
tolerancia-baja,T-B-85,85,484,..\instances\tolerancia-baja\T-B-85.txt
tolerancia-baja,T-B-86,86,508,..\instances\tolerancia-baja\T-B-86.txt
tolerancia-baja,T-B-87,87,493,..\instances\tolerancia-baja\T-B-87.txt
tolerancia-baja,T-B-88,88,492,..\instances\tolerancia-baja\T-B-88.txt
tolerancia-baja,T-B-89,89,480,..\instances\tolerancia-baja\T-B-89.txt
tolerancia-baja,T-B-90,90,507,..\instances\tolerancia-baja\T-B-90.txt
tolerancia-baja,T-B-91,91,481,..\instances\tolerancia-baja\T-B-91.txt
tolerancia-baja,T-B-92,92,503,..\instances\tolerancia-baja\T-B-92.txt
tolerancia-baja,T-B-93,93,532,..\instances\tolerancia-baja\T-B-93.txt
tolerancia-baja,T-B-94,94,506,..\instances\tolerancia-baja\T-B-94.txt
tolerancia-baja,T-B-95,95,500,..\instances\tolerancia-baja\T-B-95.txt
tolerancia-baja,T-B-96,96,521,..\instances\tolerancia-baja\T-B-96.txt
tolerancia-baja,T-B-97,97,492,..\instances\tolerancia-baja\T-B-97.txt
tolerancia-baja,T-B-98,98,476,..\instances\tolerancia-baja\T-B-98.txt
tolerancia-baja,T-B-99,99,503,..\instances\tolerancia-baja\T-B-99.txt
tolerancia-baja,T-B-100,100,474,..\instances\tolerancia-baja\T-B-100.txt
tolerancia-baja,T-B-101,101,485,..\instances\tolerancia-baja\T-B-101.txt
tolerancia-baja,T-B-102,102,518,..\instances\tolerancia-baja\T-B-102.txt
tolerancia-baja,T-B-103,103,517,..\instances\tolerancia-baja\T-B-103.txt
tolerancia-baja,T-B-104,104,535,..\instances\tolerancia-baja\T-B-104.txt
tolerancia-baja,T-B-105,105,528,..\instances\tolerancia-baja\T-B-105.txt
tolerancia-baja,T-B-106,106,511,..\instances\tolerancia-baja\T-B-106.txt
tolerancia-baja,T-B-107,107,503,..\instances\tolerancia-baja\T-B-107.txt
tolerancia-baja,T-B-108,108,522,..\instances\tolerancia-baja\T-B-108.txt
tolerancia-baja,T-B-109,109,474,..\instances\tolerancia-baja\T-B-109.txt
tolerancia-baja,T-B-110,110,506,..\instances\tolerancia-baja\T-B-110.txt
tolerancia-baja,T-B-111,111,488,..\instances\tolerancia-baja\T-B-111.txt
tolerancia-baja,T-B-112,112,454,..\instances\tolerancia-baja\T-B-112.txt
tolerancia-baja,T-B-113,113,491,..\instances\tolerancia-baja\T-B-113.txt
tolerancia-baja,T-B-114,114,528,..\instances\tolerancia-baja\T-B-114.txt
tolerancia-baja,T-B-115,115,501,..\instances\tolerancia-baja\T-B-115.txt
tolerancia-baja,T-B-116,116,488,..\instances\tolerancia-baja\T-B-116.txt
tolerancia-baja,T-B-117,117,483,..\instances\tolerancia-baja\T-B-117.txt
tolerancia-baja,T-B-118,118,468,..\instances\tolerancia-baja\T-B-118.txt
tolerancia-baja,T-B-119,119,514,..\instances\tolerancia-baja\T-B-119.txt
tolerancia-baja,T-B-120,120,505,..\instances\tolerancia-baja\T-B-120.txt
tolerancia-baja,T-B-121,121,509,..\instances\tolerancia-baja\T-B-121.txt
tolerancia-baja,T-B-122,122,484,..\instances\tolerancia-baja\T-B-122.txt
tolerancia-baja,T-B-123,123,493,..\instances\tolerancia-baja\T-B-123.txt
tolerancia-baja,T-B-124,124,504,..\instances\tolerancia-baja\T-B-124.txt
tolerancia-baja,T-B-125,125,501,..\instances\tolerancia-baja\T-B-125.txt
tolerancia-baja,T-B-126,126,496,..\instances\tolerancia-baja\T-B-126.txt
tolerancia-baja,T-B-127,127,501,..\instances\tolerancia-baja\T-B-127.txt
tolerancia-baja,T-B-128,128,479,..\instances\tolerancia-baja\T-B-128.txt
tolerancia-baja,T-B-129,129,489,..\instances\tolerancia-baja\T-B-129.txt
tolerancia-baja,T-B-130,130,479,..\instances\tolerancia-baja\T-B-130.txt
tolerancia-baja,T-B-131,131,502,..\instances\tolerancia-baja\T-B-131.txt
tolerancia-baja,T-B-132,132,527,..\instances\tolerancia-baja\T-B-132.txt
tolerancia-baja,T-B-133,133,528,..\instances\tolerancia-baja\T-B-133.txt
tolerancia-baja,T-B-134,134,515,..\instances\tolerancia-baja\T-B-134.txt
tolerancia-baja,T-B-135,135,509,..\instances\tolerancia-baja\T-B-135.txt
tolerancia-baja,T-B-136,136,488,..\instances\tolerancia-baja\T-B-136.txt
tolerancia-baja,T-B-137,137,513,..\instances\tolerancia-baja\T-B-137.txt
tolerancia-baja,T-B-138,138,535,..\instances\tolerancia-baja\T-B-138.txt
tolerancia-baja,T-B-139,139,492,..\instances\tolerancia-baja\T-B-139.txt
tolerancia-baja,T-B-140,140,498,..\instances\tolerancia-baja\T-B-140.txt
tolerancia-baja,T-B-141,141,498,..\instances\tolerancia-baja\T-B-141.txt
tolerancia-baja,T-B-142,142,496,..\instances\tolerancia-baja\T-B-142.txt
tolerancia-baja,T-B-143,143,527,..\instances\tolerancia-baja\T-B-143.txt
tolerancia-baja,T-B-144,144,512,..\instances\tolerancia-baja\T-B-144.txt
tolerancia-baja,T-B-145,145,507,..\instances\tolerancia-baja\T-B-145.txt
tolerancia-baja,T-B-146,146,509,..\instances\tolerancia-baja\T-B-146.txt
tolerancia-baja,T-B-147,147,487,..\instances\tolerancia-baja\T-B-147.txt
tolerancia-baja,T-B-148,148,507,..\instances\tolerancia-baja\T-B-148.txt
tolerancia-baja,T-B-149,149,501,..\instances\tolerancia-baja\T-B-149.txt
tolerancia-baja,T-B-150,150,506,..\instances\tolerancia-baja\T-B-150.txt
tolerancia-baja,T-B-151,151,492,..\instances\tolerancia-baja\T-B-151.txt
tolerancia-baja,T-B-152,152,502,..\instances\tolerancia-baja\T-B-152.txt
tolerancia-baja,T-B-153,153,489,..\instances\tolerancia-baja\T-B-153.txt
tolerancia-baja,T-B-154,154,504,..\instances\tolerancia-baja\T-B-154.txt
tolerancia-baja,T-B-155,155,496,..\instances\tolerancia-baja\T-B-155.txt
tolerancia-baja,T-B-156,156,506,..\instances\tolerancia-baja\T-B-156.txt
tolerancia-baja,T-B-157,157,490,..\instances\tolerancia-baja\T-B-157.txt
tolerancia-baja,T-B-158,158,510,..\instances\tolerancia-baja\T-B-158.txt
tolerancia-baja,T-B-159,159,493,..\instances\tolerancia-baja\T-B-159.txt
tolerancia-baja,T-B-160,160,477,..\instances\tolerancia-baja\T-B-160.txt
tolerancia-baja,T-B-161,161,500,..\instances\tolerancia-baja\T-B-161.txt
tolerancia-baja,T-B-162,162,508,..\instances\tolerancia-baja\T-B-162.txt
tolerancia-baja,T-B-163,163,505,..\instances\tolerancia-baja\T-B-163.txt
tolerancia-baja,T-B-164,164,507,..\instances\tolerancia-baja\T-B-164.txt
tolerancia-baja,T-B-165,165,520,..\instances\tolerancia-baja\T-B-165.txt
tolerancia-baja,T-B-166,166,491,..\instances\tolerancia-baja\T-B-166.txt
tolerancia-baja,T-B-167,167,512,..\instances\tolerancia-baja\T-B-167.txt
tolerancia-baja,T-B-168,168,511,..\instances\tolerancia-baja\T-B-168.txt
tolerancia-baja,T-B-169,169,482,..\instances\tolerancia-baja\T-B-169.txt
tolerancia-baja,T-B-170,170,497,..\instances\tolerancia-baja\T-B-170.txt
tolerancia-baja,T-B-171,171,497,..\instances\tolerancia-baja\T-B-171.txt
tolerancia-baja,T-B-172,172,492,..\instances\tolerancia-baja\T-B-172.txt
tolerancia-baja,T-B-173,173,498,..\instances\tolerancia-baja\T-B-173.txt
tolerancia-baja,T-B-174,174,496,..\instances\tolerancia-baja\T-B-174.txt
tolerancia-baja,T-B-175,175,491,..\instances\tolerancia-baja\T-B-175.txt
tolerancia-baja,T-B-176,176,477,..\instances\tolerancia-baja\T-B-176.txt
tolerancia-baja,T-B-177,177,478,..\instances\tolerancia-baja\T-B-177.txt
tolerancia-baja,T-B-178,178,495,..\instances\tolerancia-baja\T-B-178.txt
tolerancia-baja,T-B-179,179,501,..\instances\tolerancia-baja\T-B-179.txt
tolerancia-baja,T-B-180,180,521,..\instances\tolerancia-baja\T-B-180.txt
tolerancia-baja,T-B-181,181,481,..\instances\tolerancia-baja\T-B-181.txt
tolerancia-baja,T-B-182,182,507,..\instances\tolerancia-baja\T-B-182.txt
tolerancia-baja,T-B-183,183,474,..\instances\tolerancia-baja\T-B-183.txt
tolerancia-baja,T-B-184,184,508,..\instances\tolerancia-baja\T-B-184.txt
tolerancia-baja,T-B-185,185,501,..\instances\tolerancia-baja\T-B-185.txt
tolerancia-baja,T-B-186,186,527,..\instances\tolerancia-baja\T-B-186.txt
tolerancia-baja,T-B-187,187,506,..\instances\tolerancia-baja\T-B-187.txt
tolerancia-baja,T-B-188,188,490,..\instances\tolerancia-baja\T-B-188.txt
tolerancia-baja,T-B-189,189,489,..\instances\tolerancia-baja\T-B-189.txt
tolerancia-baja,T-B-190,190,513,..\instances\tolerancia-baja\T-B-190.txt
tolerancia-baja,T-B-191,191,507,..\instances\tolerancia-baja\T-B-191.txt
tolerancia-baja,T-B-192,192,491,..\instances\tolerancia-baja\T-B-192.txt
tolerancia-baja,T-B-193,193,510,..\instances\tolerancia-baja\T-B-193.txt
tolerancia-baja,T-B-194,194,510,..\instances\tolerancia-baja\T-B-194.txt
tolerancia-baja,T-B-195,195,503,..\instances\tolerancia-baja\T-B-195.txt
tolerancia-baja,T-B-196,196,509,..\instances\tolerancia-baja\T-B-196.txt
tolerancia-baja,T-B-197,197,522,..\instances\tolerancia-baja\T-B-197.txt
tolerancia-baja,T-B-198,198,492,..\instances\tolerancia-baja\T-B-198.txt
tolerancia-baja,T-B-199,199,495,..\instances\tolerancia-baja\T-B-199.txt
tolerancia-baja,T-B-200,200,484,..\instances\tolerancia-baja\T-B-200.txt
tolerancia-baja,T-B-201,201,494,..\instances\tolerancia-baja\T-B-201.txt
tolerancia-baja,T-B-202,202,504,..\instances\tolerancia-baja\T-B-202.txt
tolerancia-baja,T-B-203,203,506,..\instances\tolerancia-baja\T-B-203.txt
tolerancia-baja,T-B-204,204,490,..\instances\tolerancia-baja\T-B-204.txt
tolerancia-baja,T-B-205,205,491,..\instances\tolerancia-baja\T-B-205.txt
tolerancia-baja,T-B-206,206,516,..\instances\tolerancia-baja\T-B-206.txt
tolerancia-baja,T-B-207,207,490,..\instances\tolerancia-baja\T-B-207.txt
tolerancia-baja,T-B-208,208,503,..\instances\tolerancia-baja\T-B-208.txt
tolerancia-baja,T-B-209,209,515,..\instances\tolerancia-baja\T-B-209.txt
tolerancia-baja,T-B-210,210,511,..\instances\tolerancia-baja\T-B-210.txt
tolerancia-baja,T-B-211,211,476,..\instances\tolerancia-baja\T-B-211.txt
tolerancia-baja,T-B-212,212,493,..\instances\tolerancia-baja\T-B-212.txt
tolerancia-baja,T-B-213,213,512,..\instances\tolerancia-baja\T-B-213.txt
tolerancia-baja,T-B-214,214,509,..\instances\tolerancia-baja\T-B-214.txt
tolerancia-baja,T-B-215,215,492,..\instances\tolerancia-baja\T-B-215.txt
tolerancia-baja,T-B-216,216,508,..\instances\tolerancia-baja\T-B-216.txt
tolerancia-baja,T-B-217,217,511,..\instances\tolerancia-baja\T-B-217.txt
tolerancia-baja,T-B-218,218,515,..\instances\tolerancia-baja\T-B-218.txt
tolerancia-baja,T-B-219,219,501,..\instances\tolerancia-baja\T-B-219.txt
tolerancia-baja,T-B-220,220,506,..\instances\tolerancia-baja\T-B-220.txt
tolerancia-baja,T-B-221,221,463,..\instances\tolerancia-baja\T-B-221.txt
tolerancia-baja,T-B-222,222,475,..\instances\tolerancia-baja\T-B-222.txt
tolerancia-baja,T-B-223,223,516,..\instances\tolerancia-baja\T-B-223.txt
tolerancia-baja,T-B-224,224,507,..\instances\tolerancia-baja\T-B-224.txt
tolerancia-baja,T-B-225,225,482,..\instances\tolerancia-baja\T-B-225.txt
tolerancia-baja,T-B-226,226,508,..\instances\tolerancia-baja\T-B-226.txt
tolerancia-baja,T-B-227,227,506,..\instances\tolerancia-baja\T-B-227.txt
tolerancia-baja,T-B-228,228,482,..\instances\tolerancia-baja\T-B-228.txt
tolerancia-baja,T-B-229,229,495,..\instances\tolerancia-baja\T-B-229.txt
tolerancia-baja,T-B-230,230,490,..\instances\tolerancia-baja\T-B-230.txt
tolerancia-baja,T-B-231,231,507,..\instances\tolerancia-baja\T-B-231.txt
tolerancia-baja,T-B-232,232,504,..\instances\tolerancia-baja\T-B-232.txt
tolerancia-baja,T-B-233,233,481,..\instances\tolerancia-baja\T-B-233.txt
tolerancia-baja,T-B-234,234,510,..\instances\tolerancia-baja\T-B-234.txt
tolerancia-baja,T-B-235,235,494,..\instances\tolerancia-baja\T-B-235.txt
tolerancia-baja,T-B-236,236,492,..\instances\tolerancia-baja\T-B-236.txt
tolerancia-baja,T-B-237,237,517,..\instances\tolerancia-baja\T-B-237.txt
tolerancia-baja,T-B-238,238,491,..\instances\tolerancia-baja\T-B-238.txt
tolerancia-baja,T-B-239,239,504,..\instances\tolerancia-baja\T-B-239.txt
tolerancia-baja,T-B-240,240,502,..\instances\tolerancia-baja\T-B-240.txt
tolerancia-baja,T-B-241,241,500,..\instances\tolerancia-baja\T-B-241.txt
tolerancia-baja,T-B-242,242,507,..\instances\tolerancia-baja\T-B-242.txt
tolerancia-baja,T-B-243,243,504,..\instances\tolerancia-baja\T-B-243.txt
tolerancia-baja,T-B-244,244,501,..\instances\tolerancia-baja\T-B-244.txt
tolerancia-baja,T-B-245,245,516,..\instances\tolerancia-baja\T-B-245.txt
tolerancia-baja,T-B-246,246,507,..\instances\tolerancia-baja\T-B-246.txt
tolerancia-baja,T-B-247,247,481,..\instances\tolerancia-baja\T-B-247.txt
tolerancia-baja,T-B-248,248,502,..\instances\tolerancia-baja\T-B-248.txt
tolerancia-baja,T-B-249,249,480,..\instances\tolerancia-baja\T-B-249.txt
tolerancia-baja,T-B-250,250,496,..\instances\tolerancia-baja\T-B-250.txt
tolerancia-baja,T-B-251,251,478,..\instances\tolerancia-baja\T-B-251.txt
tolerancia-baja,T-B-252,252,482,..\instances\tolerancia-baja\T-B-252.txt
tolerancia-baja,T-B-253,253,503,..\instances\tolerancia-baja\T-B-253.txt
tolerancia-baja,T-B-254,254,496,..\instances\tolerancia-baja\T-B-254.txt
tolerancia-baja,T-B-255,255,496,..\instances\tolerancia-baja\T-B-255.txt
tolerancia-baja,T-B-256,256,497,..\instances\tolerancia-baja\T-B-256.txt
tolerancia-baja,T-B-257,257,492,..\instances\tolerancia-baja\T-B-257.txt
tolerancia-baja,T-B-258,258,483,..\instances\tolerancia-baja\T-B-258.txt
tolerancia-baja,T-B-259,259,490,..\instances\tolerancia-baja\T-B-259.txt
tolerancia-baja,T-B-260,260,497,..\instances\tolerancia-baja\T-B-260.txt
tolerancia-baja,T-B-261,261,508,..\instances\tolerancia-baja\T-B-261.txt
tolerancia-baja,T-B-262,262,520,..\instances\tolerancia-baja\T-B-262.txt
tolerancia-baja,T-B-263,263,483,..\instances\tolerancia-baja\T-B-263.txt
tolerancia-baja,T-B-264,264,497,..\instances\tolerancia-baja\T-B-264.txt
tolerancia-baja,T-B-265,265,508,..\instances\tolerancia-baja\T-B-265.txt
tolerancia-baja,T-B-266,266,503,..\instances\tolerancia-baja\T-B-266.txt
tolerancia-baja,T-B-267,267,507,..\instances\tolerancia-baja\T-B-267.txt
tolerancia-baja,T-B-268,268,525,..\instances\tolerancia-baja\T-B-268.txt
tolerancia-baja,T-B-269,269,487,..\instances\tolerancia-baja\T-B-269.txt
tolerancia-baja,T-B-270,270,500,..\instances\tolerancia-baja\T-B-270.txt
tolerancia-baja,T-B-271,271,505,..\instances\tolerancia-baja\T-B-271.txt
tolerancia-baja,T-B-272,272,502,..\instances\tolerancia-baja\T-B-272.txt
tolerancia-baja,T-B-273,273,499,..\instances\tolerancia-baja\T-B-273.txt
tolerancia-baja,T-B-274,274,520,..\instances\tolerancia-baja\T-B-274.txt
tolerancia-baja,T-B-275,275,496,..\instances\tolerancia-baja\T-B-275.txt
tolerancia-baja,T-B-276,276,520,..\instances\tolerancia-baja\T-B-276.txt
tolerancia-baja,T-B-277,277,496,..\instances\tolerancia-baja\T-B-277.txt
tolerancia-baja,T-B-278,278,530,..\instances\tolerancia-baja\T-B-278.txt
tolerancia-baja,T-B-279,279,519,..\instances\tolerancia-baja\T-B-279.txt
tolerancia-baja,T-B-280,280,497,..\instances\tolerancia-baja\T-B-280.txt
tolerancia-baja,T-B-281,281,495,..\instances\tolerancia-baja\T-B-281.txt
tolerancia-baja,T-B-282,282,487,..\instances\tolerancia-baja\T-B-282.txt
tolerancia-baja,T-B-283,283,498,..\instances\tolerancia-baja\T-B-283.txt
tolerancia-baja,T-B-284,284,501,..\instances\tolerancia-baja\T-B-284.txt
tolerancia-baja,T-B-285,285,488,..\instances\tolerancia-baja\T-B-285.txt
tolerancia-baja,T-B-286,286,505,..\instances\tolerancia-baja\T-B-286.txt
tolerancia-baja,T-B-287,287,482,..\instances\tolerancia-baja\T-B-287.txt
tolerancia-baja,T-B-288,288,518,..\instances\tolerancia-baja\T-B-288.txt
tolerancia-baja,T-B-289,289,490,..\instances\tolerancia-baja\T-B-289.txt
tolerancia-baja,T-B-290,290,502,..\instances\tolerancia-baja\T-B-290.txt
tolerancia-baja,T-B-291,291,489,..\instances\tolerancia-baja\T-B-291.txt
tolerancia-baja,T-B-292,292,487,..\instances\tolerancia-baja\T-B-292.txt
tolerancia-baja,T-B-293,293,503,..\instances\tolerancia-baja\T-B-293.txt
tolerancia-baja,T-B-294,294,499,..\instances\tolerancia-baja\T-B-294.txt
tolerancia-baja,T-B-295,295,496,..\instances\tolerancia-baja\T-B-295.txt
tolerancia-baja,T-B-296,296,478,..\instances\tolerancia-baja\T-B-296.txt
tolerancia-baja,T-B-297,297,505,..\instances\tolerancia-baja\T-B-297.txt
tolerancia-baja,T-B-298,298,505,..\instances\tolerancia-baja\T-B-298.txt
tolerancia-baja,T-B-299,299,497,..\instances\tolerancia-baja\T-B-299.txt
tolerancia-baja,T-B-300,300,495,..\instances\tolerancia-baja\T-B-300.txt
tolerancia-baja,T-B-301,301,498,..\instances\tolerancia-baja\T-B-301.txt
tolerancia-baja,T-B-302,302,513,..\instances\tolerancia-baja\T-B-302.txt
tolerancia-baja,T-B-303,303,523,..\instances\tolerancia-baja\T-B-303.txt
tolerancia-baja,T-B-304,304,493,..\instances\tolerancia-baja\T-B-304.txt
tolerancia-baja,T-B-305,305,507,..\instances\tolerancia-baja\T-B-305.txt
tolerancia-baja,T-B-306,306,499,..\instances\tolerancia-baja\T-B-306.txt
tolerancia-baja,T-B-307,307,501,..\instances\tolerancia-baja\T-B-307.txt
tolerancia-baja,T-B-308,308,501,..\instances\tolerancia-baja\T-B-308.txt
tolerancia-baja,T-B-309,309,482,..\instances\tolerancia-baja\T-B-309.txt
tolerancia-baja,T-B-310,310,523,..\instances\tolerancia-baja\T-B-310.txt
tolerancia-baja,T-B-311,311,504,..\instances\tolerancia-baja\T-B-311.txt
tolerancia-baja,T-B-312,312,497,..\instances\tolerancia-baja\T-B-312.txt
tolerancia-baja,T-B-313,313,496,..\instances\tolerancia-baja\T-B-313.txt
tolerancia-baja,T-B-314,314,510,..\instances\tolerancia-baja\T-B-314.txt
tolerancia-baja,T-B-315,315,492,..\instances\tolerancia-baja\T-B-315.txt
tolerancia-baja,T-B-316,316,481,..\instances\tolerancia-baja\T-B-316.txt
tolerancia-baja,T-B-317,317,494,..\instances\tolerancia-baja\T-B-317.txt
tolerancia-baja,T-B-318,318,499,..\instances\tolerancia-baja\T-B-318.txt
tolerancia-baja,T-B-319,319,495,..\instances\tolerancia-baja\T-B-319.txt
tolerancia-baja,T-B-320,320,510,..\instances\tolerancia-baja\T-B-320.txt
tolerancia-baja,T-B-321,321,502,..\instances\tolerancia-baja\T-B-321.txt
tolerancia-baja,T-B-322,322,484,..\instances\tolerancia-baja\T-B-322.txt
tolerancia-baja,T-B-323,323,499,..\instances\tolerancia-baja\T-B-323.txt
tolerancia-baja,T-B-324,324,501,..\instances\tolerancia-baja\T-B-324.txt
tolerancia-baja,T-B-325,325,504,..\instances\tolerancia-baja\T-B-325.txt
tolerancia-baja,T-B-326,326,505,..\instances\tolerancia-baja\T-B-326.txt
tolerancia-baja,T-B-327,327,495,..\instances\tolerancia-baja\T-B-327.txt
tolerancia-baja,T-B-328,328,501,..\instances\tolerancia-baja\T-B-328.txt
tolerancia-baja,T-B-329,329,471,..\instances\tolerancia-baja\T-B-329.txt
tolerancia-baja,T-B-330,330,482,..\instances\tolerancia-baja\T-B-330.txt
tolerancia-baja,T-B-331,331,515,..\instances\tolerancia-baja\T-B-331.txt
tolerancia-baja,T-B-332,332,505,..\instances\tolerancia-baja\T-B-332.txt
