dataset,instancia,negocios,C,i,archivo
BT-peor-opt,BT-P-O-87-1-87,87,87,1,..\instances\BT-peor-opt\BT-P-O-87-1-87.txt
BT-peor-opt,BT-P-O-88-1-88,88,88,1,..\instances\BT-peor-opt\BT-P-O-88-1-88.txt
BT-peor-opt,BT-P-O-89-1-89,89,89,1,..\instances\BT-peor-opt\BT-P-O-89-1-89.txt
BT-peor-opt,BT-P-O-90-1-90,90,90,1,..\instances\BT-peor-opt\BT-P-O-90-1-90.txt
BT-peor-opt,BT-P-O-91-1-91,91,91,1,..\instances\BT-peor-opt\BT-P-O-91-1-91.txt
BT-peor-opt,BT-P-O-92-1-92,92,92,1,..\instances\BT-peor-opt\BT-P-O-92-1-92.txt
BT-peor-opt,BT-P-O-93-1-93,93,93,1,..\instances\BT-peor-opt\BT-P-O-93-1-93.txt
BT-peor-opt,BT-P-O-94-1-94,94,94,1,..\instances\BT-peor-opt\BT-P-O-94-1-94.txt
BT-peor-opt,BT-P-O-95-1-95,95,95,1,..\instances\BT-peor-opt\BT-P-O-95-1-95.txt
BT-peor-opt,BT-P-O-96-1-96,96,96,1,..\instances\BT-peor-opt\BT-P-O-96-1-96.txt
BT-peor-opt,BT-P-O-97-1-97,97,97,1,..\instances\BT-peor-opt\BT-P-O-97-1-97.txt
BT-peor-opt,BT-P-O-98-1-98,98,98,1,..\instances\BT-peor-opt\BT-P-O-98-1-98.txt
BT-peor-opt,BT-P-O-99-1-99,99,99,1,..\instances\BT-peor-opt\BT-P-O-99-1-99.txt
BT-peor-opt,BT-P-O-100-1-100,100,100,1,..\instances\BT-peor-opt\BT-P-O-100-1-100.txt
